"id","distance","identity_code","inter_flag","inter_mobile_identity_code","inter_time","major_minor","place","rssi","upload_time"
"25285","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:00",,,"-79","1668236739000"
"25286","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:00",,,"-79","1668236739000"
"25287","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:00",,,"-82","1668236739000"
"25288","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:01",,,"-89","1668236739000"
"25289","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:01",,,"-77","1668236739000"
"25290","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:02",,,"-83","1668236739000"
"25291","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:02",,,"-77","1668236739000"
"25292","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:03",,,"-86","1668236739000"
"25293","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:03",,,"-83","1668236739000"
"25294","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:04",,,"-89","1668236739000"
"25295","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:05",,,"-89","1668236739000"
"25296","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:05",,,"-86","1668236739000"
"25297","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:06",,,"-80","1668236739000"
"25943","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:48",,,"-82","1668236833000"
"25945","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:48",,,"-80","1668236833000"
"25947","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:49",,,"-81","1668236833000"
"25949","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:50",,,"-77","1668236833000"
"25951","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:50",,,"-85","1668236833000"
"25952","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:50",,,"-86","1668236833000"
"25957","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:52",,,"-83","1668236833000"
"25959","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:52",,,"-82","1668236833000"
"25960","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:52",,,"-80","1668236833000"
"25961","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:53",,,"-88","1668236833000"
"25963","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:53",,,"-79","1668236833000"
"25965","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:05:53",,,"-91","1668236833000"
"26009","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:06:41",,,"-80","1668236833000"
"26011","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:06:41",,,"-88","1668236833000"
"26013","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:06:42",,,"-80","1668236833000"
"26015","5","0926bde8","1","f69de6fcbletest0","2022/11/12 15:06:42",,,"-91","1668236833000"
"26017","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:06:43",,,"-83","1668236833000"
"26018","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:06:45",,,"-83","1668236833000"
"30269","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:08:52",,,"-74","1668237020000"
"30270","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:08:52",,,"-76","1668237020000"
"30271","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:08:53",,,"-75","1668237020000"
"30272","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:08:53",,,"-71","1668237020000"
"30273","3","0926bde8","1","f69de6fcbletest0","2022/11/12 15:08:54",,,"-77","1668237020000"
"30274","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:08:55",,,"-74","1668237020000"
"30276","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:08:57",,,"-74","1668237020000"
"30278","2","0926bde8","1","f69de6fcbletest0","2022/11/12 15:08:57",,,"-73","1668237020000"
