"id","identity_code","ground_index","arrival_time"
"1051","dc32f1d2bletest0","1","2023/03/24 11:03:47"
"1052","75909e89bletest0","2","2023/03/24 11:03:50"
"1053","0926bde8bletest0","9","2023/03/24 11:03:50"
"1054","fedc20debletest0","10","2023/03/24 11:03:51"
"1055","0926bde8bletest0","8","2023/03/24 11:05:02"
"1056","fedc20debletest0","9","2023/03/24 11:05:03"
"1057","dc32f1d2bletest0","2","2023/03/24 11:05:12"
"1058","0926bde8bletest0","7","2023/03/24 11:06:02"
"1059","75909e89bletest0","1","2023/03/24 11:06:02"
"1060","fedc20debletest0","8","2023/03/24 11:07:02"
"1061","75909e89bletest0","2","2023/03/24 11:07:03"
"1062","0926bde8bletest0","6","2023/03/24 11:07:03"
"1063","dc32f1d2bletest0","3","2023/03/24 11:07:04"
"1064","fedc20debletest0","7","2023/03/24 11:08:03"
"1065","75909e89bletest0","3","2023/03/24 11:08:04"
"1066","75909e89bletest0","4","2023/03/24 11:09:02"
"1067","0926bde8bletest0","5","2023/03/24 11:09:02"
"1068","dc32f1d2bletest0","4","2023/03/24 11:09:04"
"1069","0926bde8bletest0","6","2023/03/24 11:10:03"
"1070","fedc20debletest0","6","2023/03/24 11:10:03"
"1071","75909e89bletest0","5","2023/03/24 11:10:04"
"1072","0926bde8bletest0","7","2023/03/24 11:11:02"
"1073","75909e89bletest0","6","2023/03/24 11:11:04"
"1074","fedc20debletest0","5","2023/03/24 11:11:04"
"1075","dc32f1d2bletest0","5","2023/03/24 11:11:06"
"1076","dc32f1d2bletest0","0","2023/03/24 11:11:07"
"1077","fedc20debletest0","4","2023/03/24 11:12:02"
"1078","75909e89bletest0","7","2023/03/24 11:12:04"
"1079","75909e89bletest0","8","2023/03/24 11:13:03"
"1080","0926bde8bletest0","8","2023/03/24 11:13:03"
"1081","fedc20debletest0","3","2023/03/24 11:13:04"
"1082","dc32f1d2bletest0","6","2023/03/24 11:13:10"
"1083","75909e89bletest0","9","2023/03/24 11:14:02"
"1084","fedc20debletest0","2","2023/03/24 11:14:02"
"1085","fedc20debletest0","1","2023/03/24 11:15:03"
"1086","dc32f1d2bletest0","7","2023/03/24 11:15:03"
"1087","75909e89bletest0","10","2023/03/24 11:15:03"
"1088","0926bde8bletest0","7","2023/03/24 11:15:03"
"1089","fedc20debletest0","2","2023/03/24 11:17:02"
"1090","dc32f1d2bletest0","8","2023/03/24 11:17:02"
"1091","75909e89bletest0","9","2023/03/24 11:17:03"
"1092","0926bde8bletest0","6","2023/03/24 11:17:02"
"1093","fedc20debletest0","3","2023/03/24 11:18:02"
"1094","0926bde8bletest0","5","2023/03/24 11:18:05"
"1095","75909e89bletest0","8","2023/03/24 11:19:02"
"1096","dc32f1d2bletest0","9","2023/03/24 11:19:02"
